iter	Passed	Remaining
0	322	321986
1	324	161894
2	326	108439
3	328	81712
4	333	66307
5	335	55503
6	336	47702
7	337	41802
8	342	37710
9	343	34025
10	344	30981
11	345	28443
12	346	26283
13	346	24429
14	347	22824
15	348	21421
16	349	20184
17	349	19080
18	350	18095
19	351	17228
20	352	16427
21	353	15697
22	355	15100
23	356	14491
24	357	13926
25	358	13411
26	358	12931
27	359	12482
28	360	12063
29	361	11672
30	361	11306
31	362	10963
32	363	10641
33	363	10340
34	364	10056
35	365	9787
36	366	9534
37	367	9299
38	369	9098
39	370	8889
40	371	8681
41	371	8484
42	372	8295
43	373	8115
44	374	7945
45	375	7783
46	376	7625
47	376	7474
48	377	7328
49	378	7190
50	379	7056
51	379	6927
52	380	6804
53	381	6690
54	384	6598
55	385	6490
56	386	6391
57	387	6295
58	388	6198
59	389	6104
60	391	6027
61	392	5942
62	393	5859
63	400	5854
64	401	5776
65	402	5701
66	403	5625
67	405	5551
68	406	5480
69	407	5410
70	408	5342
71	409	5276
72	412	5240
73	414	5182
74	415	5121
75	416	5061
76	417	5003
77	418	4946
78	419	4892
79	420	4839
80	453	5139
81	454	5084
82	454	5022
83	455	4969
84	456	4918
85	460	4898
86	462	4851
87	463	4803
88	464	4755
89	465	4709
90	466	4663
91	468	4619
92	469	4575
93	470	4532
94	471	4490
95	472	4448
96	476	4436
97	477	4397
98	478	4358
99	480	4320
100	481	4283
101	482	4247
102	483	4211
103	484	4175
104	485	4140
105	486	4106
106	487	4072
107	501	4143
108	502	4110
109	519	4200
110	522	4181
111	525	4168
112	527	4138
113	528	4107
114	529	4078
115	531	4046
116	531	4013
117	532	3981
118	533	3952
119	534	3923
120	537	3904
121	538	3873
122	539	3843
123	539	3814
124	540	3785
125	541	3756
126	542	3726
127	542	3697
128	543	3669
129	544	3641
130	544	3614
131	545	3587
132	546	3560
133	546	3534
134	547	3508
135	548	3483
136	548	3458
137	551	3445
138	552	3423
139	553	3400
140	554	3377
141	554	3352
142	555	3328
143	556	3306
144	556	3283
145	557	3261
146	558	3239
147	559	3218
148	559	3197
149	560	3175
150	561	3154
151	561	3134
152	562	3114
153	563	3094
154	563	3074
155	564	3055
156	566	3040
157	567	3023
158	568	3004
159	568	2986
160	569	2966
161	569	2948
162	570	2930
163	571	2912
164	572	2895
165	572	2877
166	573	2860
167	574	2843
168	574	2826
169	575	2809
170	576	2793
171	577	2778
172	578	2764
173	580	2753
174	582	2744
175	583	2729
176	583	2714
177	584	2699
178	585	2684
179	586	2669
180	586	2655
181	587	2640
182	588	2626
183	589	2614
184	590	2601
185	591	2589
186	592	2576
187	593	2564
188	595	2554
189	596	2543
190	598	2534
191	599	2524
192	601	2514
193	602	2502
194	603	2490
195	604	2480
196	605	2468
197	606	2456
198	607	2444
199	608	2435
200	612	2436
201	614	2429
202	615	2417
203	616	2405
204	617	2394
205	618	2382
206	618	2371
207	619	2359
208	620	2348
209	621	2336
210	621	2325
211	622	2315
212	623	2304
213	626	2301
214	629	2298
215	630	2288
216	631	2278
217	632	2267
218	633	2257
219	634	2248
220	635	2238
221	635	2227
222	636	2217
223	637	2207
224	637	2196
225	638	2187
226	642	2187
227	643	2180
228	645	2174
229	646	2164
230	647	2155
231	648	2146
232	649	2138
233	650	2128
234	650	2119
235	651	2109
236	652	2100
237	653	2091
238	656	2091
239	658	2084
240	659	2078
241	660	2069
242	661	2060
243	662	2051
244	663	2043
245	663	2035
246	664	2026
247	665	2017
248	666	2009
249	666	2000
250	667	1992
251	671	1993
252	673	1987
253	674	1980
254	675	1974
255	676	1966
256	678	1960
257	678	1952
258	679	1944
259	680	1936
260	681	1928
261	681	1920
262	682	1913
263	685	1909
264	687	1905
265	688	1898
266	689	1891
267	690	1885
268	690	1877
269	691	1869
270	692	1862
271	693	1854
272	693	1847
273	694	1840
274	695	1833
275	698	1831
276	719	1878
277	720	1872
278	722	1866
279	723	1860
280	724	1853
281	725	1848
282	731	1852
283	733	1849
284	735	1844
285	736	1838
286	737	1832
287	739	1829
288	741	1824
289	748	1831
290	749	1826
291	750	1820
292	752	1814
293	770	1850
294	772	1845
295	773	1839
296	776	1837
297	778	1834
298	782	1834
299	784	1829
300	786	1825
301	787	1820
302	789	1816
303	793	1817
304	795	1812
305	797	1809
306	799	1804
307	800	1798
308	801	1792
309	829	1846
310	830	1840
311	832	1834
312	833	1828
313	834	1822
314	841	1828
315	842	1824
316	843	1818
317	844	1811
318	845	1804
319	846	1798
320	847	1792
321	848	1785
322	849	1779
323	853	1781
324	855	1777
325	857	1772
326	859	1767
327	859	1761
328	860	1755
329	873	1772
330	874	1767
331	875	1761
332	877	1757
333	878	1752
334	880	1746
335	884	1748
336	885	1742
337	886	1737
338	888	1731
339	889	1725
340	890	1720
341	890	1713
342	891	1707
343	892	1701
344	892	1695
345	893	1689
346	894	1683
347	895	1677
348	898	1676
349	899	1670
350	900	1664
351	900	1658
352	901	1652
353	902	1646
354	903	1640
355	903	1634
356	904	1628
357	905	1623
358	905	1617
359	906	1611
360	907	1605
361	907	1600
362	908	1594
363	909	1588
364	909	1583
365	911	1578
366	913	1575
367	914	1569
368	914	1564
369	915	1559
370	916	1554
371	917	1549
372	918	1544
373	919	1539
374	920	1533
375	920	1528
376	921	1522
377	922	1517
378	923	1512
379	923	1507
380	924	1501
381	925	1496
382	927	1494
383	928	1490
384	929	1485
385	930	1480
386	931	1475
387	932	1470
388	932	1464
389	933	1460
390	934	1455
391	934	1450
392	935	1445
393	936	1440
394	937	1435
395	937	1430
396	938	1425
397	939	1420
398	940	1415
399	942	1413
400	943	1408
401	943	1404
402	944	1399
403	945	1394
404	945	1389
405	946	1384
406	947	1380
407	947	1375
408	948	1370
409	949	1366
410	950	1361
411	950	1356
412	951	1352
413	952	1347
414	952	1343
415	953	1338
416	954	1334
417	955	1329
418	957	1327
419	958	1323
420	958	1318
421	959	1314
422	960	1309
423	960	1305
424	961	1301
425	962	1296
426	963	1292
427	964	1288
428	964	1284
429	965	1280
430	966	1276
431	967	1271
432	968	1267
433	968	1263
434	969	1259
435	970	1255
436	972	1252
437	973	1248
438	973	1244
439	974	1240
440	975	1236
441	975	1231
442	976	1227
443	977	1223
444	978	1219
445	978	1215
446	979	1211
447	980	1207
448	980	1203
449	981	1199
450	982	1195
451	983	1191
452	983	1187
453	984	1183
454	985	1180
455	987	1177
456	988	1173
457	988	1170
458	989	1166
459	990	1162
460	990	1158
461	992	1155
462	993	1152
463	994	1148
464	994	1144
465	995	1140
466	996	1137
467	997	1133
468	997	1129
469	998	1126
470	999	1122
471	999	1118
472	1001	1116
473	1002	1112
474	1003	1109
475	1004	1105
476	1005	1102
477	1006	1098
478	1007	1095
479	1008	1092
480	1008	1088
481	1009	1084
482	1010	1081
483	1011	1077
484	1011	1074
485	1012	1070
486	1013	1067
487	1013	1063
488	1014	1060
489	1016	1058
490	1018	1055
491	1018	1051
492	1019	1048
493	1020	1045
494	1020	1041
495	1021	1038
496	1022	1034
497	1022	1031
498	1023	1027
499	1024	1024
500	1024	1020
501	1025	1017
502	1026	1013
503	1026	1010
504	1027	1007
505	1028	1003
506	1028	1000
507	1029	997
508	1032	995
509	1032	992
510	1033	989
511	1034	985
512	1035	982
513	1035	979
514	1036	976
515	1037	972
516	1037	969
517	1038	966
518	1039	963
519	1039	959
520	1040	956
521	1041	953
522	1042	950
523	1042	947
524	1043	944
525	1044	940
526	1044	937
527	1047	936
528	1047	933
529	1048	930
530	1049	927
531	1050	923
532	1051	920
533	1051	917
534	1052	914
535	1053	911
536	1054	908
537	1054	905
538	1055	902
539	1056	899
540	1057	896
541	1057	893
542	1058	891
543	1059	888
544	1060	885
545	1062	883
546	1063	880
547	1064	878
548	1065	875
549	1066	872
550	1067	870
551	1068	867
552	1069	864
553	1070	861
554	1071	858
555	1071	855
556	1072	853
557	1073	850
558	1074	847
559	1077	846
560	1079	844
561	1080	842
562	1082	840
563	1083	837
564	1084	834
565	1085	832
566	1085	829
567	1086	826
568	1087	823
569	1088	820
570	1088	818
